Step #5150.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 247 ACT 119 BUF 0)               
Step #5200.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 249 ACT 117 BUF 0)               
Step #5250.00 (1ms ~= 500.00*RT, ~120000.00UPS, TraCI: 54ms, vehicles TOT 253 ACT 120 BUF 
Step #5300.00 (1ms ~= 500.00*RT, ~124000.00UPS, TraCI: 54ms, vehicles TOT 257 ACT 124 BUF 
Step #5350.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 260 ACT 123 BUF 0)               
Step #5400.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 263 ACT 121 BUF 0)               
Step #5450.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 265 ACT 122 BUF 0)               
Step #5500.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 266 ACT 119 BUF 0)               
Step #5550.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 268 ACT 121 BUF 0)               
Step #5600.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 270 ACT 120 BUF 0)               
Step #5650.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 272 ACT 119 BUF 0)               
Step #5700.00 (1ms ~= 500.00*RT, ~118000.00UPS, TraCI: 51ms, vehicles TOT 273 ACT 118 BUF 
Step #5750.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 276 ACT 119 BUF 0)               
Step #5800.00 (0ms ?*RT. ?UPS, TraCI: 48ms, vehicles TOT 277 ACT 116 BUF 0)               
Step #5850.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 281 ACT 116 BUF 0)               
Step #5900.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 284 ACT 115 BUF 0)               
Step #5950.00 (1ms ~= 500.00*RT, ~117000.00UPS, TraCI: 51ms, vehicles TOT 286 ACT 117 BUF 
Step #6000.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 286 ACT 112 BUF 0)               
Step #6050.00 (0ms ?*RT. ?UPS, TraCI: 41ms, vehicles TOT 289 ACT 113 BUF 0)               
Step #6100.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 292 ACT 115 BUF 0)               
Step #6150.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 298 ACT 119 BUF 0)               
Step #6200.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 301 ACT 118 BUF 0)               
Step #6250.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 304 ACT 120 BUF 0)               
Step #6300.00 (0ms ?*RT. ?UPS, TraCI: 52ms, vehicles TOT 306 ACT 119 BUF 0)               
Step #6350.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 308 ACT 118 BUF 0)               
Step #6400.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 311 ACT 120 BUF 0)               
Step #6450.00 (1ms ~= 500.00*RT, ~121000.00UPS, TraCI: 53ms, vehicles TOT 313 ACT 121 BUF 
Step #6500.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 317 ACT 120 BUF 0)               
Step #6550.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 321 ACT 122 BUF 0)               
Step #6600.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 325 ACT 122 BUF 0)               
Step #6650.00 (0ms ?*RT. ?UPS, TraCI: 54ms, vehicles TOT 327 ACT 121 BUF 0)               
Step #6700.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 328 ACT 122 BUF 0)               
Step #6750.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 332 ACT 123 BUF 0)               
Step #6800.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 337 ACT 126 BUF 0)               
Step #6850.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 338 ACT 124 BUF 0)               
Step #6900.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 341 ACT 125 BUF 0)               
Step #6950.00 (0ms ?*RT. ?UPS, TraCI: 56ms, vehicles TOT 343 ACT 126 BUF 0)               
Step #7000.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 345 ACT 126 BUF 0)               
